variant,size_label,size_bytes,iteration,phase,duration_ns
A_full,1KB,1024,16,t0_t1_validation,259900
A_full,1KB,1024,16,t1_t2_encode,4500
A_full,1KB,1024,16,t2_t3_write,1390400
A_full,1KB,1024,16,t3_t4_rename,0
A_full,1KB,1024,16,t4_t5_audit,14700
A_full,1KB,1024,16,t5_t6_return,300
A_full,1KB,1024,16,t0_t6_total,1669800
A_full,1KB,1024,17,t0_t1_validation,403600
A_full,1KB,1024,17,t1_t2_encode,7400
A_full,1KB,1024,17,t2_t3_write,1986800
A_full,1KB,1024,17,t3_t4_rename,0
A_full,1KB,1024,17,t4_t5_audit,23500
A_full,1KB,1024,17,t5_t6_return,400
A_full,1KB,1024,17,t0_t6_total,2421700
A_full,1KB,1024,18,t0_t1_validation,282300
A_full,1KB,1024,18,t1_t2_encode,3600
A_full,1KB,1024,18,t2_t3_write,1490700
A_full,1KB,1024,18,t3_t4_rename,0
A_full,1KB,1024,18,t4_t5_audit,21100
A_full,1KB,1024,18,t5_t6_return,300
A_full,1KB,1024,18,t0_t6_total,1798000
A_full,1KB,1024,19,t0_t1_validation,370500
A_full,1KB,1024,19,t1_t2_encode,5300
A_full,1KB,1024,19,t2_t3_write,1365800
A_full,1KB,1024,19,t3_t4_rename,0
A_full,1KB,1024,19,t4_t5_audit,12800
A_full,1KB,1024,19,t5_t6_return,200
A_full,1KB,1024,19,t0_t6_total,1754600
A_full,1KB,1024,20,t0_t1_validation,358100
A_full,1KB,1024,20,t1_t2_encode,4700
A_full,1KB,1024,20,t2_t3_write,1316300
A_full,1KB,1024,20,t3_t4_rename,0
A_full,1KB,1024,20,t4_t5_audit,14900
A_full,1KB,1024,20,t5_t6_return,300
A_full,1KB,1024,20,t0_t6_total,1694300
A_full,1KB,1024,21,t0_t1_validation,244600
A_full,1KB,1024,21,t1_t2_encode,3200
A_full,1KB,1024,21,t2_t3_write,1451600
A_full,1KB,1024,21,t3_t4_rename,0
A_full,1KB,1024,21,t4_t5_audit,18400
A_full,1KB,1024,21,t5_t6_return,200
A_full,1KB,1024,21,t0_t6_total,1718000
A_full,1KB,1024,22,t0_t1_validation,255300
A_full,1KB,1024,22,t1_t2_encode,3000
A_full,1KB,1024,22,t2_t3_write,1195400
A_full,1KB,1024,22,t3_t4_rename,0
A_full,1KB,1024,22,t4_t5_audit,13700
A_full,1KB,1024,22,t5_t6_return,300
A_full,1KB,1024,22,t0_t6_total,1467700
A_full,1KB,1024,23,t0_t1_validation,288200
A_full,1KB,1024,23,t1_t2_encode,5800
A_full,1KB,1024,23,t2_t3_write,1606100
A_full,1KB,1024,23,t3_t4_rename,0
A_full,1KB,1024,23,t4_t5_audit,18500
A_full,1KB,1024,23,t5_t6_return,300
A_full,1KB,1024,23,t0_t6_total,1918900
A_full,1KB,1024,24,t0_t1_validation,308500
A_full,1KB,1024,24,t1_t2_encode,3500
A_full,1KB,1024,24,t2_t3_write,1646800
A_full,1KB,1024,24,t3_t4_rename,0
A_full,1KB,1024,24,t4_t5_audit,18300
A_full,1KB,1024,24,t5_t6_return,300
A_full,1KB,1024,24,t0_t6_total,1977400
A_full,1KB,1024,25,t0_t1_validation,253300
A_full,1KB,1024,25,t1_t2_encode,7900
A_full,1KB,1024,25,t2_t3_write,1816100
A_full,1KB,1024,25,t3_t4_rename,0
A_full,1KB,1024,25,t4_t5_audit,13200
A_full,1KB,1024,25,t5_t6_return,300
A_full,1KB,1024,25,t0_t6_total,2090800
A_full,1KB,1024,26,t0_t1_validation,327600
A_full,1KB,1024,26,t1_t2_encode,3100
A_full,1KB,1024,26,t2_t3_write,1396000
A_full,1KB,1024,26,t3_t4_rename,0
A_full,1KB,1024,26,t4_t5_audit,17200
A_full,1KB,1024,26,t5_t6_return,400
A_full,1KB,1024,26,t0_t6_total,1744300
A_full,1KB,1024,27,t0_t1_validation,372200
A_full,1KB,1024,27,t1_t2_encode,4200
A_full,1KB,1024,27,t2_t3_write,1171700
A_full,1KB,1024,27,t3_t4_rename,0
A_full,1KB,1024,27,t4_t5_audit,16800
A_full,1KB,1024,27,t5_t6_return,300
A_full,1KB,1024,27,t0_t6_total,1565200
A_full,1KB,1024,28,t0_t1_validation,278600
A_full,1KB,1024,28,t1_t2_encode,3500
A_full,1KB,1024,28,t2_t3_write,1352000
A_full,1KB,1024,28,t3_t4_rename,0
A_full,1KB,1024,28,t4_t5_audit,16100
A_full,1KB,1024,28,t5_t6_return,300
A_full,1KB,1024,28,t0_t6_total,1650500
A_full,1KB,1024,29,t0_t1_validation,285600
A_full,1KB,1024,29,t1_t2_encode,4100
A_full,1KB,1024,29,t2_t3_write,1400200
A_full,1KB,1024,29,t3_t4_rename,0
A_full,1KB,1024,29,t4_t5_audit,17200
A_full,1KB,1024,29,t5_t6_return,300
A_full,1KB,1024,29,t0_t6_total,1707400
B_no_audit,1KB,1024,0,t0_t1_validation,322200
